title,price,rating
"Mechanical Gaming Keyboard RGB Backlit 105 Keys UK Layout Rollover, Blue Switches Customizable Key with 12 LED RGB Color Modes, 7 Levels Brightness and Speed Adjustment, USB Wired for PC Gamers",£39.99,4.6 out of 5
"havit Mechanical Gaming Keyboard UK Layout Wired Red Switch 90 Keys TKL PBT Keycaps with Number Pad for PC/Laptop/Computer, Black",£40.99,4.3 out of 5
"HyperX Alloy Elite 2 – Mechanical Gaming Keyboard, HyperX Red Linear Switch, Software-Controlled Light & Macro Customization, ABS Pudding Keycaps, Media Controls, RGB LED Backlit (UK Layout)",£92.00,4.8 out of 5
"Cooler Master CK352 Mechanical Gaming Keyboard (UK Layout) - Red Switches, Per-key RGB Backlighting & Lightbars - Full-Sized, Wired, Customizable keycaps, QWERTY",£49.99,4.5 out of 5
SteelSeries Apex 5 - Hybrid Mechanical Gaming Keyboard - Per-Key RGB Illumination - Oled Smart display - English (QWERTY) Layout PC,£84.99,4.7 out of 5
"Rii Mechanical Gaming keyboard, RK908 60% Mechanical Keyboard(9 Backlight Modes) Blue Switches with 7 Color 88 Keys for PC Windows Mac keyboard-UK Layout",£19.99,4.4 out of 5
"Mechanical Gaming Keyboard, Redragon Mechanical Keyboard with 105 Programmable Keys, Red Switches, Full Anti-ghosting RGB Keyboard Gaming Ideal for PC, Windows, Mac, Gamer, Office, Typists - UK Layout",£49.99,4.7 out of 5
"Rii Bactlit Gaming Keyboard, RK100 Plus 7 Color Rainbow LED Backlit Mechanical Feeling USB Wired Gaming Keyboard (UK Layout)",£14.39,4.4 out of 5
Corsair Gaming CH-9115020-UK K63 Cherry MX Red Backlit 10 Key-Less UK Mechanical Gaming Keyboard - Black,£74.99,4.5 out of 5
"Eagletec KG010 Mechanical Keyboard White LED Backlit with Brown Switches Wired 104 Keys for Windows PC Gaming and Office, UK QWERTY (Black)",£49.99,4.2 out of 5
"SteelSeries Apex 7 - Mechanical Gaming Keyboard - OLED Display - Red Switches - English (QWERTY) Layout, Standard",£169.00,4.7 out of 5
"Corsair K70 RGB MK.2 Mechanical Gaming Keyboard (Cherry MX Red Switches: Linear and Fast, Per Key Multi-Colour RGB Backlighting, Aluminium Chassis, QWERTY UK Layout) - Black",£159.00,4.6 out of 5
"havit Mechanical Gaming Keyboard UK Layout Wired Red Switch 90 Keys TKL PBT Keycaps with Number Pad for PC/Laptop/Computer, Black",£40.99,4.3 out of 5
Corsair Gaming CH-9115020-UK K63 Cherry MX Red Backlit 10 Key-Less UK Mechanical Gaming Keyboard - Black,£74.99,4.5 out of 5
"Razer Huntsman Tournament Edition (Red Switch) - TKL Mechanical Gaming Keyboard (Compact Keyboard with Fastest Linear Opto-Mechanical Switches, PBT Keycaps, RGB Chroma Lighting) UK Layout | Black",£129.99,4.6 out of 5
HyperX Alloy Origins 60 – Mechanical Gaming Keyboard – Ultra Compact 60% Form Factor – HyperX Red Switch (Linear) – RGB LED Backlit – Side Printed Secondary Functions – NGENUITY Software Compatible,£73.52,4.7 out of 5
"Logitech G PRO TKL Mechanical Gaming Keyboard, GX Blue Clicky Key Switches, LIGHTSYNC RGB, Portable Tenkeyless Design for esport Gaming, Detachable Micro USB Cable, QWERTY UK Layout - Black",£79.99,4.6 out of 5
"Rii Mechanical Gaming keyboard, RK908 60% Mechanical Keyboard(9 Backlight Modes) Blue Switches with 7 Color 88 Keys for PC Windows Mac keyboard-UK Layout",£19.99,4.4 out of 5
SteelSeries Apex 5 - Hybrid Mechanical Gaming Keyboard - Per-Key RGB Illumination - Oled Smart display - English (QWERTY) Layout PC,£84.99,4.7 out of 5
"HyperX Alloy Origins – RGB Gaming Mechanical Keyboard, HyperX Red switches (UK layout)",£78.00,4.6 out of 5
"Roccat Vulcan 120 (UK Layout) Mechanical PC Gaming Keyboard, Tactile Titan Switch, Per-Key AIMO RGB Lighting, Anodized Aluminum Top Plate and Detachable Palm/Wrist Rest, Silver",£119.00,4.4 out of 5
"havit Mechanical Gaming Keyboard UK Layout Wired Red Switch 90 Keys TKL PBT Keycaps with Number Pad for PC/Laptop/Computer, Black",£40.99,4.3 out of 5
